RD,Region,"<1""","2""","3""","4""","5""","6""","7""","8""","9""","10""","11""","12""","12""+ ", Salting  ,Flat Monthly Cost ,,Vendor ,Notes
RD020,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"$1,483.33 ",,Trimmed and Plowed ,Monthly cost includes salt 
RD021,North,$250.00 ,$250.00 ,$325.00 ,$325.00 ,$325.00 ,$400.00 ,$400.00 ,$400.00 ,,,,,,$150.00 ,,,Lawn-N-order ,"Shoveling in front of stroage Unit Doors up 5"" $150"
RD022,North,$250.00 ,$250.00 ,$325.00 ,$325.00 ,$325.00 ,$400.00 ,$400.00 ,$400.00 ,,,,,,$130.00 ,,,Lawn - N-Order,"Shoveling in front of stroage Unit Doors up 5"" $150"
RD023,North,,,,,,,,,,,,,,$375 ,,,Lindstrom Lawn Care ,$150 per truck per Hour per hour 
RD024,Central,,,,,,,,,,,,,, $400.00 ,,,,
RD025,Central,,,,,,,,,,,,,, $400.00 ,,,,
RD026,Central,,,,,,,,,,,,,, $400.00 ,,,,
RD027,Central, $-   , $200.00 , $200.00 , $240.00 , $240.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 ,,,,
RD028,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$0.00 ,"$1,633.33 ",,Trimmed and Plowed ,Monthly cost includes salt 
RD029,Central,,,,,,,,,,,,,,,,,,
RD030,Central,,,,,,,,,,,,,,,,,,
RD031,Central,,,,,,,,,,,,,,,,,,
RD032,North,$0 ,$575 ,$575 ,$575 ,$575 ,$575 ,$575 ,$750 ,$750 ,$750 ,$750 ,$750 ,,$300 ,,,,
RD033,Central, $-   , $400.00 , $400.00 , $700.00 , $700.00 ," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $6,900.00 ",,,,
RD034,Central, $-   , $400.00 , $400.00 , $700.00 , $700.00 ," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $1,000.00 "," $2,600.00 ",,,,
RD035,Central, $175.00 , $245.00 , $245.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $480.00 ,,,,
RD036,North,0,"1,310","1,310","1,310","1,310","1,310","1,310","$1,815 ","$1,815 ","$1,815 ","$1,815 ","$1,815 ",,$300 ,,,Peoria Lawn Care ,
RD037,Central,,,,,,,,,,,,,,,,,,
RD038,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,$100 ,"1,350",,Bella Green Care ,
